livestock,birds,group
4.269,1.724,thornveld
6.498,1.742,thornveld
7.945,1.632,thornveld
4.719,1.574,thornveld
3.059,1.543,thornveld
1.138,1.374,thornveld
3.391,1.485,thornveld
3.462,1.463,thornveld
0.213,1.147,thornveld
0.047,1.113,thornveld
0.332,0.874,thornveld
1.826,0.96,thornveld
2.846,1.227,thornveld
4.885,1.23,thornveld
5.881,1.175,thornveld
5.265,1.074,thornveld
8.134,1.39,thornveld
8.893,1.322,thornveld
9.842,1.328,thornveld
11.692,1.245,thornveld
8.656,1.184,thornveld
9.676,1.169,thornveld
9.889,1.052,thornveld
10.387,0.788,thornveld
7.186,1.058,thornveld
6.474,1.006,thornveld
6.024,0.945,thornveld
6.024,0.825,thornveld
5.502,0.81,thornveld
5.336,0.794,thornveld
4.957,0.721,thornveld
5.787,0.586,thornveld
3.344,0.663,thornveld
1.921,0.66,thornveld
0.664,0.706,thornveld
0.047,0.233,thornveld
0.047,0.193,thornveld
0.664,0.279,thornveld
1.66,0.258,thornveld
2.419,0.34,thornveld
3.344,0.558,thornveld
4.15,0.408,thornveld
3.937,0.304,thornveld
1.96,0.499,grassland
0.263,0.461,grassland
0,0.434,grassland
0.191,0.431,grassland
1.124,0.341,grassland
0.645,0.322,grassland
3.347,0.342,grassland
4.757,0.354,grassland
3.084,0.321,grassland
0,0.287,grassland
0.024,0.255,grassland
0.024,0.207,grassland
0.622,0.165,grassland
1.817,0.203,grassland
1.673,0.215,grassland
2.845,0.302,grassland
3.347,0.289,grassland
3.371,0.279,grassland
3.992,0.272,grassland
3.49,0.213,grassland
2.414,0.143,grassland
4.135,0.149,grassland
4.327,0.173,grassland
5.02,0.183,grassland
5.57,0.193,grassland
5.45,0.173,grassland
4.948,0.115,grassland
5.833,0.101,grassland
5.952,0.083,grassland
6.55,0.137,grassland
7.243,0.101,grassland
6.55,0.171,grassland
5.283,0.239,grassland
6.048,0.243,grassland
6.072,0.252,grassland
8.008,0.213,grassland
8.223,0.165,grassland
8.701,0.212,grassland
8.988,0.204,grassland
10.422,0.179,grassland
9.729,0.155,grassland
9.944,0.142,grassland
9.896,0.136,grassland
11.737,0.13,grassland
