generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.032,0,0.00195129,0
1000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.0317249,-0.000686116,0.065976,0
1000000,Dendrolagus_bennettianus,Lagostrophus_fasciatus,144.342,0.108988,-0.000268187,0.0062582,0
1000000,Antechinus_bellus,Ningaui_ridei,139.871,0.137348,-0.00418311,0.00386678,0
1000000,Acrobates_pygmaeus,Caluromys_lanatus,76.5698,0.124607,-0.0101024,0.00494713,0
2000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.044041,-0.00231126,0.0824509,0
2000000,Dendrolagus_bennettianus,Dorcopsis_atrata,148.148,0.21879,-0.00923312,0.0392917,0
2000000,Antechinus_bellus,Myrmecobius_fasciatus,124.102,0.203885,-0.0135968,0.0160537,0
2000000,Lasiorhinus_krefftii,Phascolarctos_cinereus,114.43,0.043672,-0.00189833,0.0532457,0
2000000,Acrobates_pygmaeus,Caluromys_lanatus,70.5022,0.0824213,-0.00478165,0.000295566,0
3000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.00448345,0.00445933,0.00895304,0
3000000,Dactylopsila_trivirgata,Petaurus_australis,136.857,0.035075,0.0044439,0.0280927,0
3000000,Dendrolagus_bennettianus,Lagostrophus_fasciatus,147.349,0.146062,-0.00247857,0.0132492,0
3000000,Myoictis_melas,NA,165.269,0.026104,-0.0107417,0.0246951,0
3000000,Antechinus_bellus,Ningaui_ridei,138.857,0.0945203,-0.00385236,0.00251202,0
3000000,Isoodon_auratus,Perameles_gunnii,152.232,0.138045,-0.00824421,0.00982001,0
3000000,Acrobates_pygmaeus,Caluromys_lanatus,62.1505,0.0575327,-0.000950949,0.00547614,0
4000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.0450023,-0.000358618,4.22509e-05,0
4000000,Tachyglossus_aculeatus,Ornithorhynchus_anatinus,55.1849,0.0454344,-0.00319317,0.0813911,0
4000000,Bettongia_penicillata,Hypsiprymnodon_moschatus,130.122,0.0716548,0.0134299,0.0086228,0
4000000,Antechinus_bellus,Myrmecobius_fasciatus,116.284,0.113774,-0.00262708,0.0112592,0
5000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.00497948,0.00235057,0.0400463,0
5000000,Dendrolagus_bennettianus,Dorcopsis_atrata,150.181,0.177414,-0.0038393,0.0340589,0
5000000,Acrobates_pygmaeus,Caluromys_lanatus,81.6969,0.0802774,-0.00542249,0.00179719,0
6000000,Tachyglossus_aculeatus,Acrobates_pygmaeus,0,0.0448639,-0.00706444,0.0466241,0
6000000,Caenolestes_fuliginosus,NA,165.531,0.0292239,-0.00282561,0.0188,0
6000000,Dendrolagus_bennettianus,Dorcopsis_atrata,149.92,0.120045,0.00728875,0.0240537,0
6000000,Micoureus_demerarae,NA,165.147,0.123778,-0.0166338,0.49745,0
6000000,Antechinus_bellus,Myrmecobius_fasciatus,112.067,0.170297,-0.0109923,0.000755053,0
6000000,Planigale_tenuirostris,NA,163.139,0.192507,0.00247639,0.16695,0
6000000,Microperoryctes_murina,Isoodon_auratus,143.477,0.169119,0.00889944,0.0389741,0
6000000,Philander_opossum,NA,166.107,0.175273,0.000212165,0.276293,0
6000000,Monodelphis_kunsi,Monodelphis_domestica,161.075,0.0899995,0.00121774,0.0174142,0
